NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	Details ...	19	-0.97924525	-4.1286087	0.0	0.0	0.0	53	tags=100%, list=3%, signal=102%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Details ...	35	-0.7343854	-3.81785	0.0	0.0	0.0	194	tags=74%, list=12%, signal=83%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	36	-0.7170389	-3.7919855	0.0	0.0	0.0	213	tags=83%, list=13%, signal=94%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	22	-0.7864197	-3.45128	0.0	0.0	0.0	53	tags=82%, list=3%, signal=83%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	66	-0.48460668	-3.050086	0.0	0.0	0.0	294	tags=68%, list=18%, signal=80%	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Details ...	43	-0.49077213	-2.7969165	0.0	0.0	0.0	146	tags=44%, list=9%, signal=47%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	Details ...	21	-0.612954	-2.7024615	0.0	0.0	0.0	146	tags=62%, list=9%, signal=67%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	31	-0.5038023	-2.566226	0.0	0.0	0.0	815	tags=100%, list=51%, signal=199%	
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	Details ...	15	-0.6308765	-2.4922376	0.0	0.0	0.0	63	tags=40%, list=4%, signal=41%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	90	-0.32542935	-2.2863204	0.0	0.001132243	0.009	146	tags=29%, list=9%, signal=30%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	23	-0.50126106	-2.2496123	0.0	0.0011481927	0.01	815	tags=100%, list=51%, signal=200%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	18	-0.5179133	-2.1593144	0.0	0.002066247	0.02	786	tags=100%, list=49%, signal=193%	
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM	Details ...	33	-0.35712942	-1.84841	0.007968128	0.020311529	0.19	304	tags=48%, list=19%, signal=59%	
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	Details ...	17	-0.4249841	-1.7330879	0.015673982	0.037725665	0.35	95	tags=41%, list=6%, signal=43%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	119	-0.21277162	-1.5702877	0.011111111	0.08770916	0.657	213	tags=28%, list=13%, signal=30%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	26	-0.28773105	-1.4289802	0.08527132	0.16651541	0.884	821	tags=85%, list=51%, signal=170%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION	Details ...	21	-0.3062852	-1.3398427	0.104166664	0.23768237	0.963	600	tags=71%, list=37%, signal=112%	
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	Details ...	19	-0.29685533	-1.2956208	0.16403785	0.27597725	0.982	1138	tags=100%, list=71%, signal=338%	
REACTOME_SPHINGOLIPID_METABOLISM	REACTOME_SPHINGOLIPID_METABOLISM	Details ...	18	-0.28724074	-1.2395254	0.18566775	0.33190477	0.994	1153	tags=100%, list=72%, signal=349%	
REACTOME_ARACHIDONIC_ACID_METABOLISM	REACTOME_ARACHIDONIC_ACID_METABOLISM	Details ...	15	-0.31267405	-1.2043406	0.22256097	0.36473274	0.996	201	tags=47%, list=12%, signal=53%	
