NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	66	0.59542334	2.8674216	0.0	0.0	0.0	520	tags=80%, list=32%, signal=114%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	29	0.6810425	2.7539034	0.0	0.0	0.0	229	tags=62%, list=14%, signal=71%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	34	0.649771	2.7019951	0.0	0.0	0.0	344	tags=71%, list=21%, signal=88%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	21	0.74633664	2.6841419	0.0	0.0	0.0	338	tags=90%, list=21%, signal=113%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	65	0.5379885	2.5833037	0.0	0.0	0.0	229	tags=46%, list=14%, signal=52%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	19	0.72678506	2.5439973	0.0	0.0	0.0	260	tags=79%, list=16%, signal=93%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	127	0.46624267	2.525576	0.0	0.0	0.0	415	tags=50%, list=26%, signal=62%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Details ...	16	0.7482737	2.5071466	0.0	0.0	0.0	416	tags=100%, list=26%, signal=134%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	Details ...	17	0.7383292	2.4820476	0.0	0.0	0.0	304	tags=82%, list=19%, signal=100%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	27	0.6139211	2.3952699	0.0	0.0	0.0	220	tags=59%, list=14%, signal=67%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	52	0.48820204	2.2280474	0.0	4.3577407E-4	0.005	647	tags=79%, list=40%, signal=128%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Details ...	66	0.45945746	2.2110853	0.0	4.7540892E-4	0.006	229	tags=38%, list=14%, signal=42%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	94	0.4317506	2.2028873	0.0	4.3883902E-4	0.006	229	tags=36%, list=14%, signal=40%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	21	0.5804377	2.1067395	0.0	0.0018935569	0.028	555	tags=86%, list=34%, signal=129%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	17	0.6056119	2.096782	0.0014556041	0.0020026218	0.031	374	tags=71%, list=23%, signal=91%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	97	0.40361628	2.095358	0.0	0.0018774577	0.031	647	tags=67%, list=40%, signal=105%	
