NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	174	-0.5132267	-4.0840654	0.0	0.0	0.0	876	tags=76%, list=36%, signal=112%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	Details ...	137	-0.52176905	-3.8752172	0.0	0.0	0.0	832	tags=77%, list=35%, signal=110%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS	Details ...	74	-0.5556295	-3.6554358	0.0	0.0	0.0	844	tags=82%, list=35%, signal=123%	
REACTOME_MITOTIC_PROMETAPHASE	REACTOME_MITOTIC_PROMETAPHASE	Details ...	50	-0.5705182	-3.4231498	0.0	0.0	0.0	793	tags=84%, list=33%, signal=123%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	34	-0.6326582	-3.354913	0.0	0.0	0.0	828	tags=94%, list=34%, signal=141%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	171	-0.4052338	-3.345428	0.0	0.0	0.0	1330	tags=90%, list=55%, signal=187%	
REACTOME_S_PHASE	REACTOME_S_PHASE	Details ...	50	-0.54634696	-3.2460485	0.0	0.0	0.0	732	tags=76%, list=30%, signal=107%	
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	Details ...	44	-0.55899066	-3.208659	0.0	0.0	0.0	717	tags=77%, list=30%, signal=108%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR	Details ...	87	-0.4790184	-3.1939828	0.0	0.0	0.0	876	tags=74%, list=36%, signal=111%	
REACTOME_M_PHASE	REACTOME_M_PHASE	Details ...	86	-0.46155265	-3.1668148	0.0	0.0	0.0	984	tags=79%, list=41%, signal=129%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	34	-0.59445304	-3.155996	0.0	0.0	0.0	828	tags=88%, list=34%, signal=133%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE	Details ...	42	-0.5436199	-3.096261	0.0	0.0	0.0	876	tags=83%, list=36%, signal=129%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION	Details ...	22	-0.6752843	-3.089841	0.0	0.0	0.0	732	tags=95%, list=30%, signal=136%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	53	-0.50427014	-3.0736399	0.0	0.0	0.0	887	tags=79%, list=37%, signal=123%	
REACTOME_HOMOLOGY_DIRECTED_REPAIR	REACTOME_HOMOLOGY_DIRECTED_REPAIR	Details ...	34	-0.5666466	-3.0707533	0.0	0.0	0.0	859	tags=85%, list=36%, signal=131%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	Details ...	42	-0.5389711	-3.0214427	0.0	0.0	0.0	859	tags=81%, list=36%, signal=124%	
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	Details ...	17	-0.71375906	-2.999237	0.0	0.0	0.0	294	tags=71%, list=12%, signal=80%	
REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION	Details ...	46	-0.51727873	-2.9227965	0.0	0.0	0.0	801	tags=76%, list=33%, signal=112%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Details ...	93	-0.42585385	-2.9049418	0.0	0.0	0.0	1422	tags=100%, list=59%, signal=235%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA	Details ...	42	-0.5113585	-2.877046	0.0	0.0	0.0	732	tags=71%, list=30%, signal=101%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS		20	-0.65507126	-2.8447187	0.0	0.0	0.0	844	tags=100%, list=35%, signal=153%	
