NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	194	0.52933574	3.462538	0.0	0.0	0.0	741	tags=68%, list=31%, signal=90%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	107	0.49546498	2.967218	0.0	0.0	0.0	548	tags=55%, list=23%, signal=68%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION	Details ...	44	0.61079854	2.964749	0.0	0.0	0.0	409	tags=66%, list=17%, signal=78%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	21	0.76117784	2.9510539	0.0	0.0	0.0	423	tags=86%, list=18%, signal=103%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	21	0.7610339	2.922002	0.0	0.0	0.0	373	tags=81%, list=16%, signal=95%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	44	0.5722526	2.8391001	0.0	0.0	0.0	547	tags=64%, list=23%, signal=81%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	83	0.49711642	2.7923126	0.0	0.0	0.0	515	tags=52%, list=21%, signal=64%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	88	0.48691708	2.7676156	0.0	0.0	0.0	703	tags=64%, list=29%, signal=87%	
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	Details ...	40	0.5810774	2.7369063	0.0	0.0	0.0	610	tags=73%, list=25%, signal=96%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Details ...	41	0.55973995	2.6790922	0.0	0.0	0.0	471	tags=63%, list=20%, signal=78%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Details ...	126	0.44213316	2.6759026	0.0	0.0	0.0	541	tags=46%, list=22%, signal=56%	
REACTOME_SIGNALING_BY_GPCR	REACTOME_SIGNALING_BY_GPCR	Details ...	87	0.46796617	2.6537604	0.0	0.0	0.0	784	tags=70%, list=33%, signal=100%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	22	0.65863055	2.638981	0.0	0.0	0.0	541	tags=82%, list=22%, signal=105%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	45	0.5412157	2.6389086	0.0	0.0	0.0	542	tags=62%, list=23%, signal=79%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	Details ...	47	0.5347157	2.5556307	0.0	0.0	0.0	471	tags=60%, list=20%, signal=73%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	17	0.67818254	2.487278	0.0	0.0	0.0	210	tags=53%, list=9%, signal=58%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Details ...	22	0.6289751	2.4777162	0.0	0.0	0.0	436	tags=64%, list=18%, signal=77%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	131	0.40454373	2.4361496	0.0	3.90681E-5	0.001	672	tags=51%, list=28%, signal=67%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	27	0.5899762	2.4268131	0.0	3.7011887E-5	0.001	316	tags=52%, list=13%, signal=59%	
