NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	57	0.4500375	2.4904666	0.0	0.0	0.0	119	tags=51%, list=18%, signal=57%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Details ...	26	0.56043226	2.4531078	0.0	0.0	0.0	107	tags=62%, list=16%, signal=71%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	32	0.41295752	1.9516289	0.005602241	0.013241768	0.036	95	tags=44%, list=15%, signal=49%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	44	0.29828393	1.5366223	0.021604938	0.13924335	0.403	95	tags=34%, list=15%, signal=37%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	36	0.29692608	1.5110693	0.064417176	0.13045278	0.457	118	tags=36%, list=18%, signal=42%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	25	0.34520096	1.5048174	0.074270554	0.112621725	0.469	94	tags=32%, list=14%, signal=36%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	Details ...	16	0.36949083	1.3885747	0.13874346	0.16200547	0.666	50	tags=31%, list=8%, signal=33%	
REACTOME_SIGNALING_BY_GPCR	REACTOME_SIGNALING_BY_GPCR	Details ...	21	0.27232027	1.1088426	0.31728044	0.4409564	0.98	50	tags=24%, list=8%, signal=25%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	28	0.17205581	0.7752321	0.7787611	0.93210065	1.0	151	tags=39%, list=23%, signal=49%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	15	0.14128725	0.51968545	0.98195875	1.0	1.0	561	tags=100%, list=86%, signal=700%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	20	0.1265822	0.50473577	0.97402596	0.9819918	1.0	571	tags=100%, list=88%, signal=780%	
