NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	56	-0.684823	-3.4684427	0.0	0.0	0.0	237	tags=86%, list=26%, signal=108%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Details ...	40	-0.7171689	-3.29717	0.0	0.0	0.0	233	tags=90%, list=25%, signal=115%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	40	-0.677528	-3.115979	0.0	0.0	0.0	233	tags=85%, list=25%, signal=109%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	Details ...	19	-0.83795786	-3.1038408	0.0	0.0	0.0	166	tags=100%, list=18%, signal=119%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	23	-0.77257526	-3.0718977	0.0	0.0	0.0	228	tags=100%, list=25%, signal=130%	
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Details ...	39	-0.48637587	-2.2103226	0.0	3.4759153E-4	0.004	259	tags=56%, list=28%, signal=75%	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Details ...	21	-0.5625834	-2.1530073	0.0	2.979356E-4	0.004	299	tags=81%, list=33%, signal=117%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	50	-0.44011965	-2.1480277	0.0	2.6069363E-4	0.004	299	tags=64%, list=33%, signal=90%	
REACTOME_DISEASES_OF_METABOLISM	REACTOME_DISEASES_OF_METABOLISM	Details ...	18	-0.5590375	-2.063076	0.0	0.0012424907	0.022	289	tags=78%, list=31%, signal=111%	
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	Details ...	16	-0.552554	-1.926698	0.0013927576	0.004935421	0.092	237	tags=75%, list=26%, signal=99%	
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	Details ...	24	-0.38987175	-1.5325859	0.045143638	0.09045744	0.854	167	tags=38%, list=18%, signal=45%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	76	-0.25635234	-1.3686708	0.10571081	0.1986294	0.989	222	tags=38%, list=24%, signal=46%	
REACTOME_METABOLISM_OF_CARBOHYDRATES	REACTOME_METABOLISM_OF_CARBOHYDRATES	Details ...	24	-0.3385373	-1.3518932	0.13389121	0.19863354	0.991	336	tags=54%, list=37%, signal=83%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	16	-0.3410332	-1.1910177	0.25564972	0.3621487	0.999	444	tags=75%, list=48%, signal=142%	
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	Details ...	15	-0.30728444	-1.0519373	0.40327382	0.5389974	1.0	290	tags=47%, list=32%, signal=67%	
REACTOME_PHOSPHOLIPID_METABOLISM	REACTOME_PHOSPHOLIPID_METABOLISM	Details ...	19	-0.25307038	-0.9406435	0.54142857	0.68028045	1.0	307	tags=42%, list=33%, signal=62%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	16	-0.26596156	-0.9215925	0.5457227	0.6704676	1.0	401	tags=63%, list=44%, signal=109%	
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	Details ...	16	-0.23933439	-0.8442908	0.6671642	0.74382293	1.0	80	tags=19%, list=9%, signal=20%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	26	-0.20447706	-0.8405903	0.6596343	0.7098364	1.0	119	tags=19%, list=13%, signal=21%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	18	-0.15431863	-0.55534226	0.94452775	0.95136297	1.0	65	tags=11%, list=7%, signal=12%	
