NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	56	-0.66453254	-3.6276727	0.0	0.0	0.0	569	tags=84%, list=24%, signal=108%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Details ...	41	-0.7129655	-3.5253367	0.0	0.0	0.0	553	tags=90%, list=23%, signal=116%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	28	-0.7184386	-3.289271	0.0	0.0	0.0	474	tags=89%, list=20%, signal=110%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	23	-0.79011595	-3.2777216	0.0	0.0	0.0	252	tags=78%, list=11%, signal=87%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	Details ...	20	-0.80110264	-3.2372746	0.0	0.0	0.0	490	tags=100%, list=21%, signal=125%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	18	-0.81271183	-3.195469	0.0	0.0	0.0	461	tags=100%, list=19%, signal=123%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	68	-0.5441791	-3.1658418	0.0	0.0	0.0	755	tags=75%, list=32%, signal=107%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	28	-0.6912202	-3.0434499	0.0	0.0	0.0	252	tags=64%, list=11%, signal=71%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	Details ...	20	-0.74071914	-2.9378743	0.0	0.0	0.0	262	tags=70%, list=11%, signal=78%	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Details ...	20	-0.70294607	-2.8497345	0.0	0.0	0.0	251	tags=65%, list=11%, signal=72%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	20	-0.6967417	-2.800859	0.0	0.0	0.0	250	tags=60%, list=11%, signal=66%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	18	-0.71496576	-2.7724736	0.0	0.0	0.0	157	tags=56%, list=7%, signal=59%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	29	-0.60019004	-2.7305677	0.0	0.0	0.0	262	tags=52%, list=11%, signal=57%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	15	-0.70902103	-2.584602	0.0	0.0	0.0	94	tags=53%, list=4%, signal=55%	
