NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	173	0.541791	4.1834445	0.0	0.0	0.0	858	tags=79%, list=36%, signal=114%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	63	0.59481126	3.5967548	0.0	0.0	0.0	707	tags=78%, list=30%, signal=108%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	46	0.63726425	3.5221744	0.0	0.0	0.0	655	tags=83%, list=28%, signal=112%	
REACTOME_INTERLEUKIN_1_SIGNALING	REACTOME_INTERLEUKIN_1_SIGNALING	Details ...	50	0.59367794	3.4360921	0.0	0.0	0.0	655	tags=78%, list=28%, signal=105%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA	Details ...	40	0.630036	3.4030318	0.0	0.0	0.0	733	tags=88%, list=31%, signal=124%	
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	Details ...	52	0.5884575	3.3836126	0.0	0.0	0.0	655	tags=77%, list=28%, signal=104%	
REACTOME_G2_M_CHECKPOINTS	REACTOME_G2_M_CHECKPOINTS	Details ...	40	0.6279239	3.3574488	0.0	0.0	0.0	733	tags=88%, list=31%, signal=124%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Details ...	39	0.6281335	3.3529687	0.0	0.0	0.0	733	tags=87%, list=31%, signal=124%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	46	0.6014031	3.3487256	0.0	0.0	0.0	518	tags=70%, list=22%, signal=87%	
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	Details ...	40	0.6253403	3.3426285	0.0	0.0	0.0	747	tags=88%, list=31%, signal=125%	
