NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	25	-0.39652428	-1.8785968	0.015765766	0.11596141	0.093	27	tags=24%, list=4%, signal=24%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	34	-0.25346613	-1.3168079	0.11963882	0.97620726	0.802	178	tags=50%, list=26%, signal=64%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	28	-0.24736048	-1.2303361	0.20190024	0.91794664	0.893	528	tags=100%, list=76%, signal=407%	
REACTOME_SIGNALING_BY_GPCR	REACTOME_SIGNALING_BY_GPCR	Details ...	23	-0.25503492	-1.2099681	0.22273782	0.7380897	0.912	80	tags=22%, list=12%, signal=24%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	24	-0.25445557	-1.1980203	0.24411134	0.61438257	0.92	191	tags=54%, list=28%, signal=72%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	22	-0.24688609	-1.1289517	0.31198347	0.6455297	0.968	166	tags=50%, list=24%, signal=64%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	33	-0.20964594	-1.0962344	0.33171913	0.61396617	0.974	105	tags=27%, list=15%, signal=31%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	50	-0.17576937	-1.0537252	0.37527594	0.60890967	0.986	167	tags=40%, list=24%, signal=49%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	75	-0.15081732	-1.0057801	0.44289044	0.6294495	0.991	401	tags=77%, list=58%, signal=164%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	34	-0.1750327	-0.92192113	0.5683297	0.7153406	0.998	178	tags=47%, list=26%, signal=60%	
REACTOME_CHROMATIN_MODIFYING_ENZYMES	REACTOME_CHROMATIN_MODIFYING_ENZYMES	Details ...	15	-0.22781065	-0.9142348	0.5483871	0.66493744	0.998	538	tags=100%, list=78%, signal=442%	
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	Details ...	15	-0.23007666	-0.9136684	0.5471264	0.6101209	0.998	77	tags=27%, list=11%, signal=29%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	18	-0.19920854	-0.8465431	0.6531049	0.6623846	1.0	23	tags=11%, list=3%, signal=11%	
