NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	32	0.5435243	2.7530448	0.0	0.0	0.0	97	tags=53%, list=14%, signal=59%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	16	0.52403754	2.038707	0.0018050541	0.008802976	0.021	161	tags=63%, list=23%, signal=80%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	28	0.37873024	1.8019953	0.022569444	0.044520997	0.149	91	tags=43%, list=13%, signal=47%	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Details ...	34	0.32382253	1.6601403	0.014492754	0.070383586	0.295	149	tags=41%, list=22%, signal=50%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	31	0.3220287	1.6053553	0.030797102	0.080213465	0.399	205	tags=52%, list=30%, signal=70%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	30	0.28637156	1.3963536	0.09893993	0.19728085	0.774	101	tags=30%, list=15%, signal=34%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	28	0.23809955	1.1358583	0.29225352	0.46731374	0.988	191	tags=43%, list=28%, signal=57%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	21	0.25779372	1.1309625	0.29734513	0.41656005	0.988	46	tags=24%, list=7%, signal=25%	
REACTOME_RHO_GTPASE_CYCLE	REACTOME_RHO_GTPASE_CYCLE	Details ...	19	0.19945958	0.82635075	0.6989051	0.8444839	1.0	268	tags=47%, list=39%, signal=75%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	24	0.15633279	0.7111768	0.8306595	0.9098395	1.0	97	tags=21%, list=14%, signal=23%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	17	0.1486618	0.5843845	0.91768825	0.93761116	1.0	537	tags=94%, list=78%, signal=412%	
