NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	39	0.6329124	2.7662778	0.0	0.0	0.0	437	tags=79%, list=27%, signal=106%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	55	0.49022207	2.2673955	0.0	6.3636363E-4	0.001	391	tags=58%, list=24%, signal=74%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	33	0.5162233	2.1387455	0.0	0.0020929293	0.005	256	tags=48%, list=16%, signal=56%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	34	0.5058468	2.0875947	0.0	0.004113948	0.013	338	tags=53%, list=21%, signal=66%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	17	0.60060436	2.0328698	0.0	0.0053005395	0.021	208	tags=53%, list=13%, signal=60%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	36	0.46933872	1.9881494	0.0026455026	0.007593141	0.037	661	tags=78%, list=41%, signal=129%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	29	0.48317227	1.940658	0.00397351	0.00990747	0.055	413	tags=62%, list=26%, signal=82%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	35	0.4422185	1.8061501	0.002617801	0.025463229	0.148	665	tags=80%, list=41%, signal=133%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	24	0.47042102	1.7661617	0.006811989	0.03066563	0.197	308	tags=46%, list=19%, signal=56%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	31	0.42317843	1.7166216	0.021304926	0.041710865	0.288	312	tags=45%, list=19%, signal=55%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	29	0.41717455	1.6543167	0.023480663	0.058474727	0.409	596	tags=69%, list=37%, signal=108%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	19	0.4695336	1.6445762	0.032577902	0.05759143	0.432	202	tags=32%, list=13%, signal=36%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	21	0.44102985	1.6102293	0.041547276	0.066319965	0.518	366	tags=52%, list=23%, signal=67%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	40	0.37215143	1.601698	0.029374203	0.06505147	0.534	375	tags=45%, list=23%, signal=57%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	32	0.38822877	1.6010884	0.028683182	0.06106045	0.536	413	tags=47%, list=26%, signal=62%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	20	0.44207802	1.5688818	0.036931816	0.07068494	0.611	792	tags=90%, list=49%, signal=175%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	35	0.35451886	1.4599408	0.07358739	0.12384174	0.839	564	tags=66%, list=35%, signal=99%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	27	0.36419088	1.4472106	0.07343124	0.12493535	0.858	221	tags=33%, list=14%, signal=38%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	23	0.38652876	1.4321047	0.08928572	0.1274712	0.874	44	tags=17%, list=3%, signal=18%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	43	0.31467545	1.385315	0.10687023	0.15202743	0.922	172	tags=26%, list=11%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		16	0.4038019	1.3598164	0.1229135	0.16383557	0.942	295	tags=38%, list=18%, signal=45%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		25	0.33649692	1.27118	0.18413979	0.23428456	0.988	169	tags=20%, list=11%, signal=22%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		18	0.34934098	1.1836967	0.2521994	0.31609672	1.0	497	tags=50%, list=31%, signal=72%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		28	0.27062145	1.0694271	0.39051604	0.44761357	1.0	563	tags=57%, list=35%, signal=86%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		29	0.25393116	1.0095898	0.4432577	0.50998795	1.0	361	tags=34%, list=22%, signal=44%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		18	0.2923094	1.0089008	0.4627737	0.49155235	1.0	273	tags=33%, list=17%, signal=40%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		33	0.17614727	0.72636557	0.8187919	0.8394751	1.0	202	tags=15%, list=13%, signal=17%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		20	0.1977371	0.70800894	0.84757835	0.83136505	1.0	161	tags=15%, list=10%, signal=16%	
