NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	79	-0.6126514	-4.1916227	0.0	0.0	0.0	644	tags=78%, list=27%, signal=104%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	63	-0.56233674	-3.4973989	0.0	0.0	0.0	588	tags=71%, list=24%, signal=92%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	50	-0.44018644	-2.6246607	0.0	0.0	0.0	1228	tags=90%, list=51%, signal=180%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	24	-0.47732997	-2.24151	0.0	0.0013626893	0.007	1270	tags=100%, list=53%, signal=210%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	43	-0.3396242	-1.9506596	0.00887574	0.007709884	0.049	876	tags=63%, list=36%, signal=97%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	21	-0.3721385	-1.6271203	0.033766232	0.045322247	0.309	519	tags=52%, list=22%, signal=66%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	52	-0.25734997	-1.5445818	0.02	0.061045237	0.428	539	tags=38%, list=22%, signal=48%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	22	-0.17755346	-0.8123058	0.7265416	0.9066271	1.0	963	tags=64%, list=40%, signal=105%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	15	-0.18674262	-0.715434	0.8281623	0.93915606	1.0	4	tags=7%, list=0%, signal=7%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	23	-0.15001291	-0.6831555	0.888	0.87727267	1.0	737	tags=43%, list=31%, signal=62%	
