NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	27	0.7103363	3.0672376	0.0	0.0	0.0	355	tags=70%, list=15%, signal=82%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	51	0.59335154	2.9542265	0.0	0.0	0.0	703	tags=76%, list=29%, signal=106%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	40	0.58907914	2.7826536	0.0	0.0	0.0	548	tags=68%, list=23%, signal=86%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	35	0.606945	2.7816715	0.0	0.0	0.0	438	tags=60%, list=18%, signal=72%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	22	0.66060966	2.6269414	0.0	0.0	0.0	734	tags=91%, list=31%, signal=130%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	39	0.54768	2.5380843	0.0	0.0	0.0	500	tags=59%, list=21%, signal=73%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	37	0.5219346	2.3541026	0.0	3.2996634E-4	0.002	436	tags=54%, list=18%, signal=65%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	24	0.55406165	2.2682414	0.0	2.8872053E-4	0.002	613	tags=67%, list=25%, signal=89%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	37	0.45377734	2.0922842	0.002945508	0.0022714706	0.016	619	tags=62%, list=26%, signal=82%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	32	0.4672218	2.0458453	0.0014858841	0.0032209572	0.025	734	tags=69%, list=31%, signal=98%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	26	0.4733411	1.9806235	0.0015748031	0.004942627	0.045	628	tags=62%, list=26%, signal=82%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	43	0.37202168	1.7954949	0.0060790274	0.02546548	0.24	783	tags=63%, list=33%, signal=91%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	26	0.3632693	1.5174373	0.058641974	0.12742761	0.79	731	tags=58%, list=30%, signal=82%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	17	0.373461	1.3666162	0.1328	0.24926189	0.966	389	tags=35%, list=16%, signal=42%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	16	0.36705872	1.341097	0.15025906	0.260478	0.98	221	tags=25%, list=9%, signal=27%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	18	0.3548639	1.3341713	0.1703125	0.2518609	0.983	621	tags=50%, list=26%, signal=67%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	15	0.37964588	1.3295937	0.16826923	0.24211699	0.985	769	tags=67%, list=32%, signal=97%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	35	0.2684687	1.1952028	0.2383808	0.38528493	0.998	795	tags=54%, list=33%, signal=80%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	18	0.3095885	1.1576807	0.31239936	0.41782516	1.0	855	tags=61%, list=36%, signal=94%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	31	0.26969153	1.1464603	0.2882883	0.4130739	1.0	452	tags=35%, list=19%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		30	0.239755	1.0468948	0.43086818	0.5385592	1.0	1180	tags=73%, list=49%, signal=142%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		46	0.20740308	1.0022966	0.44539008	0.58033544	1.0	707	tags=41%, list=29%, signal=57%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		37	0.20770538	0.9423037	0.5188088	0.6474035	1.0	764	tags=49%, list=32%, signal=70%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		27	0.21633348	0.9081358	0.5745342	0.67308503	1.0	404	tags=26%, list=17%, signal=31%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		35	0.16085221	0.717813	0.83109117	0.9181547	1.0	402	tags=23%, list=17%, signal=27%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		23	0.17406698	0.69045	0.85024154	0.9123919	1.0	1054	tags=61%, list=44%, signal=107%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		15	0.14847359	0.51444364	0.969697	1.0	1.0	2050	tags=100%, list=85%, signal=672%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		23	0.11954553	0.47506553	0.98355263	0.98441136	1.0	767	tags=39%, list=32%, signal=57%	
