NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	24	0.63554853	2.9925196	0.0	0.0	0.0	199	tags=75%, list=22%, signal=93%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	21	0.58192676	2.635169	0.0	0.0	0.0	231	tags=76%, list=25%, signal=99%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	18	0.57906234	2.4890995	0.0	0.0	0.0	145	tags=61%, list=16%, signal=71%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	22	0.4967918	2.302396	0.0	0.0014027777	0.003	183	tags=68%, list=20%, signal=83%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	27	0.33162385	1.6758597	0.019762846	0.04925099	0.14	235	tags=59%, list=26%, signal=77%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	15	0.4023406	1.6031457	0.03986711	0.06433901	0.212	169	tags=47%, list=18%, signal=56%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	22	0.20107113	0.9281747	0.5493421	0.78204674	0.98	189	tags=36%, list=21%, signal=45%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	16	0.213213	0.8909535	0.58484846	0.7432222	0.985	228	tags=50%, list=25%, signal=65%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	17	0.20421666	0.8362354	0.64041096	0.74448985	0.99	143	tags=29%, list=16%, signal=34%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	18	0.18464175	0.81776595	0.69648564	0.6965989	0.991	96	tags=22%, list=10%, signal=24%	
