NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	57	-0.6141823	-3.4410343	0.0	0.0	0.0	734	tags=82%, list=31%, signal=116%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	43	-0.52491635	-2.667014	0.0	0.0	0.0	532	tags=63%, list=22%, signal=79%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	35	-0.53190625	-2.5623353	0.0	0.0	0.0	706	tags=77%, list=30%, signal=108%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	24	-0.5675711	-2.4284136	0.0	0.0	0.0	795	tags=79%, list=33%, signal=118%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	21	-0.5887749	-2.427244	0.0	0.0	0.0	113	tags=48%, list=5%, signal=50%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	48	-0.45140642	-2.3779378	0.0	3.4E-4	0.002	532	tags=54%, list=22%, signal=68%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	27	-0.50679725	-2.286031	0.0	4.7714284E-4	0.003	432	tags=52%, list=18%, signal=63%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	43	-0.44342247	-2.2092311	0.0	7.6055556E-4	0.005	607	tags=53%, list=26%, signal=71%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	46	-0.4191574	-2.1610978	0.0	9.536999E-4	0.007	1026	tags=80%, list=43%, signal=139%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	26	-0.48183945	-2.1025414	0.0	0.0019896652	0.015	647	tags=65%, list=27%, signal=89%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	40	-0.40101448	-1.9708072	0.0	0.007992698	0.072	860	tags=73%, list=36%, signal=112%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	18	-0.48386237	-1.8510439	0.009451796	0.01595968	0.153	774	tags=78%, list=33%, signal=114%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	56	-0.318585	-1.7626644	0.007067138	0.028517332	0.278	139	tags=23%, list=6%, signal=24%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	31	-0.3716923	-1.733493	0.012773722	0.031375296	0.321	583	tags=52%, list=25%, signal=67%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	17	-0.45131427	-1.7318016	0.019379845	0.029767947	0.325	235	tags=35%, list=10%, signal=39%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	28	-0.34593725	-1.5608912	0.057040997	0.077654116	0.672	552	tags=50%, list=23%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	29	-0.32302383	-1.4639368	0.08957952	0.12158293	0.844	552	tags=48%, list=23%, signal=62%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	54	-0.25495002	-1.3873233	0.105704695	0.16547398	0.934	938	tags=67%, list=39%, signal=108%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	34	-0.26737812	-1.2843424	0.16236162	0.24097599	0.981	742	tags=53%, list=31%, signal=76%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	16	-0.344029	-1.2497692	0.232342	0.2623622	0.996	737	tags=63%, list=31%, signal=90%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		18	-0.30596218	-1.1749413	0.27457628	0.3273909	0.999	293	tags=39%, list=12%, signal=44%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		26	-0.24672411	-1.0767527	0.38086644	0.43131632	1.0	424	tags=31%, list=18%, signal=37%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		37	-0.21600309	-1.031291	0.41935483	0.4729088	1.0	487	tags=38%, list=20%, signal=47%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		30	-0.21360901	-0.9709806	0.4908759	0.53350717	1.0	565	tags=37%, list=24%, signal=47%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		16	-0.260162	-0.94251114	0.5063291	0.5515502	1.0	718	tags=50%, list=30%, signal=71%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		19	-0.19606712	-0.76845455	0.75412846	0.7600693	1.0	313	tags=26%, list=13%, signal=30%	
