NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	26	0.68665296	3.1450946	0.0	0.0	0.0	399	tags=77%, list=17%, signal=91%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	52	0.4142625	2.3966234	0.0	0.0	0.0	834	tags=65%, list=35%, signal=99%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	17	0.51122403	2.0477037	0.004210526	0.0065008467	0.024	1170	tags=100%, list=49%, signal=195%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	26	0.4085076	1.8799797	0.014989293	0.020037506	0.091	520	tags=46%, list=22%, signal=58%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	30	0.37987164	1.8599864	0.0069284067	0.018255418	0.104	655	tags=50%, list=28%, signal=68%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	27	0.3622449	1.6750561	0.010775862	0.057360787	0.344	386	tags=37%, list=16%, signal=44%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	22	0.3668819	1.6061485	0.03761062	0.07427442	0.476	1057	tags=77%, list=44%, signal=138%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	27	0.30661172	1.4106214	0.103225805	0.17857748	0.844	1202	tags=81%, list=51%, signal=163%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	21	0.31007597	1.3425058	0.12954545	0.21374513	0.918	256	tags=24%, list=11%, signal=26%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	43	0.24332401	1.3033111	0.14578588	0.22641417	0.949	228	tags=19%, list=10%, signal=20%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	38	0.2314137	1.1684674	0.2613909	0.3544925	0.994	590	tags=42%, list=25%, signal=55%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	25	0.25235033	1.1480558	0.28820962	0.3494463	0.997	1661	tags=96%, list=70%, signal=315%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	28	0.22531246	1.0890759	0.34061137	0.39590043	0.999	690	tags=46%, list=29%, signal=65%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	35	0.16575731	0.84578437	0.65478843	0.71887034	1.0	235	tags=17%, list=10%, signal=19%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	21	0.17694974	0.7543943	0.7920354	0.79495996	1.0	64	tags=10%, list=3%, signal=10%	
