NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	138	0.58734894	2.9514854	0.0	0.0	0.0	1894	tags=47%, list=16%, signal=55%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	154	0.5051805	2.5208104	0.0	0.0	0.0	2077	tags=40%, list=17%, signal=47%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	108	0.48444563	2.3489203	0.0	0.0	0.0	2281	tags=36%, list=19%, signal=44%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	30	0.58489364	2.1555924	0.0	4.5833332E-4	0.001	1727	tags=47%, list=14%, signal=54%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	95	0.44417876	2.1197977	0.0	3.6666665E-4	0.001	2468	tags=43%, list=21%, signal=54%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	0.54975146	2.0130007	0.0	0.0010912699	0.003	2273	tags=45%, list=19%, signal=56%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	22	0.54782504	1.8706895	0.0	0.0012210885	0.004	2640	tags=64%, list=22%, signal=81%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	145	0.3691964	1.8614877	0.0	0.0010684524	0.004	1957	tags=34%, list=16%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	158	0.35887218	1.8184303	0.0	0.0012213404	0.005	1747	tags=29%, list=15%, signal=34%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	32	0.4783738	1.7883499	0.0032894737	0.0018386508	0.008	1661	tags=38%, list=14%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	120	0.355091	1.7427492	0.0	0.0026996818	0.014	2222	tags=37%, list=19%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	138	0.32700318	1.6378845	0.0	0.0062172543	0.034	1566	tags=23%, list=13%, signal=26%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	0.35993215	1.5188698	0.02016129	0.018748038	0.105	1548	tags=33%, list=13%, signal=38%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	41	0.36819494	1.4777762	0.014336918	0.02315587	0.141	2281	tags=39%, list=19%, signal=48%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	135	0.2829339	1.3910664	0.0	0.04391023	0.267	2202	tags=27%, list=18%, signal=32%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	152	0.26556242	1.3585801	0.022988506	0.053494494	0.334	1566	tags=22%, list=13%, signal=25%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	135	0.25087458	1.2545062	0.06358381	0.11448784	0.595	1974	tags=24%, list=16%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	80	0.2581237	1.1471375	0.1838565	0.21975762	0.832	1956	tags=24%, list=16%, signal=28%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	144	0.21131676	1.0821395	0.25465837	0.32344806	0.947	1776	tags=22%, list=15%, signal=25%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	143	0.20954993	1.0520879	0.30952382	0.36863047	0.97	1445	tags=17%, list=12%, signal=20%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		140	0.20379928	1.0318968	0.32795697	0.39802518	0.983	1921	tags=21%, list=16%, signal=25%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		31	0.2217135	0.8194205	0.7847222	0.86380726	1.0	2836	tags=39%, list=24%, signal=51%	
