NAME	TITLE	SCORE	
CYP7A1	cytochrome P450 family 7 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2651]	4.193311	
ITLN2	intelectin 2 [Source:HGNC Symbol;Acc:HGNC:20599]	3.886616	
CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	3.8130894	
TMPRSS4	transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]	3.4484568	
PRSS54	serine protease 54 [Source:HGNC Symbol;Acc:HGNC:26336]	3.4484568	
SAA4	serum amyloid A4, constitutive [Source:HGNC Symbol;Acc:HGNC:10516]	3.2915318	
SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	3.2915318	
SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	3.2915318	
MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	3.2619483	
HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	3.0151892	
GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	2.9010134	
LCT	lactase [Source:HGNC Symbol;Acc:HGNC:6530]	2.8783996	
CYP8B1	cytochrome P450 family 8 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2653]	2.8708615	
F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	2.5986884	
SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	2.580893	
GPR84	G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535]	2.5203562	
TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	2.4471536	
TAT	tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]	2.4235642	
SERPINA4	serpin family A member 4 [Source:HGNC Symbol;Acc:HGNC:8948]	2.3804545	
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	2.3262138	
SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	2.3045447	
AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	2.2938986	
PRG4	proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]	2.2770588	
CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	2.2622035	
ACOD1	aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]	2.1859446	
