NAME	TITLE	SCORE	
RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	3.620058	
TAT	tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]	3.355393	
HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	3.3092542	
AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	3.2301486	
NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23536]	3.2125857	
C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	3.1782649	
SAA4	serum amyloid A4, constitutive [Source:HGNC Symbol;Acc:HGNC:10516]	3.1269822	
SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	3.1269822	
SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	3.1269822	
CYP7A1	cytochrome P450 family 7 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2651]	2.9708889	
TMPRSS4	transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]	2.865053	
PRSS54	serine protease 54 [Source:HGNC Symbol;Acc:HGNC:26336]	2.865053	
IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	2.8452218	
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	2.7968225	
MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	2.7659688	
TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	2.743983	
MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	2.724256	
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	2.7209823	
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	2.7209823	
SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	2.720662	
C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	2.660052	
IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	2.654118	
SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	2.6327238	
SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	2.6002004	
LYPD8	LY6/PLAUR domain containing 8 [Source:HGNC Symbol;Acc:HGNC:44208]	2.5856247	
PINLYP	phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:HGNC Symbol;Acc:HGNC:44206]	2.5856247	
UROC1	urocanate hydratase 1 [Source:HGNC Symbol;Acc:HGNC:26444]	2.5566385	
LYG1	lysozyme g1 [Source:HGNC Symbol;Acc:HGNC:27014]	2.5189035	
LYG2	lysozyme g2 [Source:HGNC Symbol;Acc:HGNC:29615]	2.5189035	
