NAME	TITLE	SCORE	
AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	2.2172327	
GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	1.942651	
EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3290]	1.9017308	
FOXN1	forkhead box N1 [Source:HGNC Symbol;Acc:HGNC:12765]	1.8732487	
BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1.8363711	
URGCP	upregulator of cell proliferation [Source:HGNC Symbol;Acc:HGNC:30890]	1.738324	
ESAM	endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]	1.6958615	
FERMT3	FERM domain containing kindlin 3 [Source:HGNC Symbol;Acc:HGNC:23151]	1.604702	
TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	1.5119636	
TPSG1	tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134]	1.5119636	
TPSD1	tryptase delta 1 [Source:HGNC Symbol;Acc:HGNC:14118]	1.5119636	
TPSB2	tryptase beta 2 [Source:HGNC Symbol;Acc:HGNC:14120]	1.5119636	
KDF1	keratinocyte differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:26624]	1.4689739	
SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	1.433739	
SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	1.4179976	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	1.3942008	
ALOX12	arachidonate 12-lipoxygenase, 12S type [Source:HGNC Symbol;Acc:HGNC:429]	1.3547896	
PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	1.2842096	
GPR137B	G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862]	1.2789817	
DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	1.2522535	
GPR45	G protein-coupled receptor 45 [Source:HGNC Symbol;Acc:HGNC:4503]	1.229292	
SMAGP	small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]	1.2274649	
TIGIT	T cell immunoreceptor with Ig and ITIM domains [Source:HGNC Symbol;Acc:HGNC:26838]	1.2274649	
NCR3	natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]	1.2274649	
PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	1.2274649	
SKAP1	src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15605]	1.2167493	
BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	1.2119815	
LGALS14	galectin 14 [Source:HGNC Symbol;Acc:HGNC:30054]	1.2114272	
LGALS16	galectin 16 [Source:HGNC Symbol;Acc:HGNC:40039]	1.2114272	
