NAME	TITLE	SCORE	
SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	3.3372247	
FBXO30	F-box protein 30 [Source:HGNC Symbol;Acc:HGNC:15600]	3.1125119	
NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	2.738129	
HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:HGNC Symbol;Acc:HGNC:5218]	2.6660724	
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5217]	2.6660724	
RAI1	retinoic acid induced 1 [Source:HGNC Symbol;Acc:HGNC:9834]	2.5151322	
CIT	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]	2.4804435	
SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	2.4373589	
PTH	parathyroid hormone [Source:HGNC Symbol;Acc:HGNC:9606]	2.321903	
STOML3	stomatin like 3 [Source:HGNC Symbol;Acc:HGNC:19420]	2.3045428	
KLHL40	kelch like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]	2.2846012	
ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	2.265029	
ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	2.2474263	
CGAS	cyclic GMP-AMP synthase [Source:HGNC Symbol;Acc:HGNC:21367]	2.2432096	
HOMEZ	homeobox and leucine zipper encoding [Source:HGNC Symbol;Acc:HGNC:20164]	2.1381366	
CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	2.1174204	
TBR1	T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590]	2.0756946	
ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	2.0602076	
GHRH	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]	2.0537577	
CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]	2.053131	
IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2.0494068	
TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]	2.0301437	
RSKR	ribosomal protein S6 kinase related [Source:HGNC Symbol;Acc:HGNC:26314]	2.0023675	
CPNE2	copine 2 [Source:HGNC Symbol;Acc:HGNC:2315]	1.9901828	
KIF20B	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]	1.942423	
IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	1.9315795	
CIDEC	cell death inducing DFFA like effector c [Source:HGNC Symbol;Acc:HGNC:24229]	1.9141335	
HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]	1.8918064	
ATG9B	autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899]	1.8404913	
NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	1.8226756	
TMC2	transmembrane channel like 2 [Source:HGNC Symbol;Acc:HGNC:16527]	1.7975378	
GGTLC2	gamma-glutamyltransferase light chain 2 [Source:HGNC Symbol;Acc:HGNC:18596]	1.7874717	
GGTLC1	gamma-glutamyltransferase light chain 1 [Source:HGNC Symbol;Acc:HGNC:16437]	1.7874717	
GGTLC3	gamma-glutamyltransferase light chain family member 3 [Source:HGNC Symbol;Acc:HGNC:33426]	1.7874717	
GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	1.7874717	
ZNF800	zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]	1.7707505	
PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	1.7616705	
NUPR2	nuclear protein 2, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:44164]	1.7581209	
NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	1.7581209	
IGHV2OR16-5	immunoglobulin heavy variable 2/OR16-5 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5579]	1.7152196	
IGHV2-70D	immunoglobulin heavy variable 2-70D [Source:HGNC Symbol;Acc:HGNC:49602]	1.7152196	
IGHV4-4	immunoglobulin heavy variable 4-4 [Source:HGNC Symbol;Acc:HGNC:5652]	1.7152196	
IGHV4-59	immunoglobulin heavy variable 4-59 [Source:HGNC Symbol;Acc:HGNC:5654]	1.7152196	
